source,target,bipartite,centrality,node
u3568,p647,users,0.000595,u3568
u1919,p178,users,0.001784,u1919
u1919,p4301,users,0.001784,u1919
u1919,p286,users,0.001784,u1919
p25235,u2480,projects,0.000595,p25235
u784,p558,users,0.001189,u784
u784,p29,users,0.001189,u784
u880,p236,users,0.000595,u880
u23363,p17,users,0.000595,u23363
u9659,p116,users,0.000595,u9659
u29113,p357,users,0.000595,u29113
u51,p1123,users,0.000595,u51
u21997,p17,users,0.000595,u21997
u5110,p3604,users,0.000595,u5110
u4090,p11462,users,0.003567,u4090
u4090,p17,users,0.003567,u4090
u4090,p8360,users,0.003567,u4090
u4090,p3784,users,0.003567,u4090
u4090,p4756,users,0.003567,u4090
u4090,p3654,users,0.003567,u4090
u696,p1092,users,0.000595,u696
u4881,p3395,users,0.001189,u4881
u4881,p65,users,0.001189,u4881
u12942,p604,users,0.000595,u12942
u5017,p3542,users,0.001784,u5017
u5017,p17,users,0.001784,u5017
u5017,p1148,users,0.001784,u5017
u13704,p645,users,0.000595,u13704
u5108,p65,users,0.000595,u5108
u12934,p645,users,0.000595,u12934
u1119,p131,users,0.000595,u1119
u9538,p607,users,0.000595,u9538
p61,u8318,projects,0.020809,p61
p61,u301,projects,0.020809,p61
p61,u1411,projects,0.020809,p61
p61,u407,projects,0.020809,p61
p61,u9969,projects,0.020809,p61
p61,u2038,projects,0.020809,p61
p61,u489,projects,0.020809,p61
p61,u3293,projects,0.020809,p61
p61,u4156,projects,0.020809,p61
p61,u4571,projects,0.020809,p61
p61,u2094,projects,0.020809,p61
p61,u7798,projects,0.020809,p61
p61,u1707,projects,0.020809,p61
p61,u13302,projects,0.020809,p61
p61,u12061,projects,0.020809,p61
p61,u1673,projects,0.020809,p61
p61,u572,projects,0.020809,p61
p61,u10085,projects,0.020809,p61
p61,u15281,projects,0.020809,p61
p61,u2509,projects,0.020809,p61
p61,u7709,projects,0.020809,p61
p61,u2721,projects,0.020809,p61
p61,u6982,projects,0.020809,p61
p61,u4323,projects,0.020809,p61
p61,u27492,projects,0.020809,p61
p61,u2906,projects,0.020809,p61
p61,u3123,projects,0.020809,p61
p61,u215,projects,0.020809,p61
p61,u6172,projects,0.020809,p61
p61,u5563,projects,0.020809,p61
p61,u2844,projects,0.020809,p61
p61,u5158,projects,0.020809,p61
p61,u9275,projects,0.020809,p61
p61,u3577,projects,0.020809,p61
p61,u16528,projects,0.020809,p61
u8206,p7091,users,0.000595,u8206
u10463,p223,users,0.000595,u10463
u18779,p17,users,0.000595,u18779
u1652,p2090,users,0.001189,u1652
u1652,p1478,users,0.001189,u1652
u6914,p1328,users,0.000595,u6914
u1982,p189,users,0.000595,u1982
u1053,p1478,users,0.001189,u1053
u1053,p1222,users,0.001189,u1053
u20134,p17,users,0.001189,u20134
u20134,p8,users,0.001189,u20134
u16626,p286,users,0.000595,u16626
u17982,p17,users,0.000595,u17982
p86327,u1575,projects,0.000595,p86327
p131,u12109,projects,0.011891,p131
p131,u1947,projects,0.011891,p131
p131,u8286,projects,0.011891,p131
p131,u6936,projects,0.011891,p131
p131,u844,projects,0.011891,p131
p131,u4014,projects,0.011891,p131
p131,u7388,projects,0.011891,p131
p131,u2823,projects,0.011891,p131
p131,u1393,projects,0.011891,p131
p131,u1787,projects,0.011891,p131
p131,u5941,projects,0.011891,p131
p131,u8718,projects,0.011891,p131
p131,u11660,projects,0.011891,p131
p131,u27327,projects,0.011891,p131
p131,u175,projects,0.011891,p131
p131,u1146,projects,0.011891,p131
p131,u765,projects,0.011891,p131
p131,u7515,projects,0.011891,p131
p131,u21244,projects,0.011891,p131
u31584,p299,users,0.000595,u31584
u17980,p1478,users,0.000595,u17980
u2587,p3251,users,0.000595,u2587
u200,p17,users,0.000595,u200
u728,p15,users,0.000595,u728
p2634,u1455,projects,0.002973,p2634
p2634,u5312,projects,0.002973,p2634
p2634,u2137,projects,0.002973,p2634
p2634,u9900,projects,0.002973,p2634
p2634,u3942,projects,0.002973,p2634
u5633,p178,users,0.000595,u5633
u19722,p4208,users,0.000595,u19722
