,source, target,node,bipartite
0,u1,u3124,u1,users
1,u1,u1814,u1,users
2,u1,u5888,u1,users
3,u1,u9483,u1,users
4,u1,u1527,u1,users
5,u1,u9271,u1,users
6,u1,u8196,u1,users
7,u1,u2653,u1,users
8,u1,u4534,u1,users
9,u1,u2253,u1,users
10,u1,u127,u1,users
11,u1,u3071,u1,users
12,u1,u3166,u1,users
13,u2,u9346,u2,users
14,u3,u2688,u3,users
15,u3,u5814,u3,users
16,u3,u1511,u3,users
17,u3,u719,u3,users
18,u3,u3681,u3,users
19,u3,u7940,u3,users
20,u3,u958,u3,users
21,u3,u8059,u3,users
22,u3,u1764,u3,users
23,u3,u5496,u3,users
24,u3,u3426,u3,users
25,u3,u204,u3,users
26,u3,u6701,u3,users
27,u3,u3117,u3,users
28,u3,u409,u3,users
29,u3,u4390,u3,users
30,u3,u1879,u3,users
31,u3,u6118,u3,users
32,u3,u7195,u3,users
33,u3,u6,u3,users
34,u3,u2823,u3,users
35,u3,u1608,u3,users
36,u3,u8480,u3,users
37,u3,u2593,u3,users
38,u3,u5207,u3,users
39,u3,u1937,u3,users
40,u3,u3467,u3,users
41,u3,u1054,u3,users
42,u3,u3610,u3,users
43,u3,u307,u3,users
44,u3,u7765,u3,users
45,u3,u1679,u3,users
46,u3,u8946,u3,users
47,u3,u5741,u3,users
48,u3,u1666,u3,users
49,u3,u816,u3,users
50,u3,u2094,u3,users
51,u3,u1890,u3,users
52,u3,u6984,u3,users
53,u3,u1748,u3,users
54,u3,u115,u3,users
55,u3,u10788,u3,users
56,u3,u7698,u3,users
57,u3,u336,u3,users
58,u3,u702,u3,users
59,u3,u5306,u3,users
60,u3,u1640,u3,users
61,u3,u1617,u3,users
62,u3,u1191,u3,users
63,u3,u848,u3,users
64,u3,u4966,u3,users
65,u3,u9086,u3,users
66,u3,u8220,u3,users
67,u3,u3178,u3,users
68,u3,u994,u3,users
69,u3,u4889,u3,users
70,u3,u6434,u3,users
71,u3,u9300,u3,users
72,u3,u5554,u3,users
73,u3,u7753,u3,users
74,u3,u3446,u3,users
75,u3,u3743,u3,users
76,u3,u807,u3,users
77,u3,u1867,u3,users
78,u3,u2008,u3,users
79,u3,u2330,u3,users
80,u3,u7010,u3,users
81,u3,u2812,u3,users
82,u3,u2463,u3,users
83,u3,u7483,u3,users
84,u3,u8368,u3,users
85,u3,u3470,u3,users
86,u3,u3997,u3,users
87,u3,u357,u3,users
88,u3,u1957,u3,users
89,u3,u7798,u3,users
90,u3,u1911,u3,users
91,u3,u1521,u3,users
92,u3,u251,u3,users
93,u3,u6278,u3,users
94,u3,u5430,u3,users
95,u3,u5294,u3,users
96,u3,u2421,u3,users
97,u3,u5841,u3,users
98,u3,u2361,u3,users
99,u3,u1116,u3,users
100,u3,u4328,u3,users
101,u3,u3994,u3,users
102,u3,u6643,u3,users
103,u3,u935,u3,users
104,u3,u6152,u3,users
105,u3,u6797,u3,users
106,u3,u1974,u3,users
107,u3,u9425,u3,users
108,u3,u3957,u3,users
109,u3,u5550,u3,users
110,u3,u7297,u3,users
111,u3,u3725,u3,users
112,u3,u95,u3,users
113,u3,u1938,u3,users
114,u3,u1839,u3,users
115,u3,u2810,u3,users
116,u3,u8088,u3,users
117,u3,u6248,u3,users
118,u3,u1743,u3,users
119,u4,u6564,u4,users
120,u4,u10627,u4,users
121,u6,u5809,u6,users
122,u6,u2688,u6,users
123,u6,u5851,u6,users
124,u6,u5814,u6,users
125,u6,u1511,u6,users
126,u6,u719,u6,users
127,u6,u1866,u6,users
128,u6,u3681,u6,users
129,u6,u7940,u6,users
130,u6,u1560,u6,users
131,u6,u712,u6,users
132,u6,u1230,u6,users
133,u6,u958,u6,users
134,u6,u8059,u6,users
135,u6,u1764,u6,users
136,u6,u1873,u6,users
137,u6,u2024,u6,users
138,u6,u3855,u6,users
139,u6,u368,u6,users
140,u6,u5496,u6,users
141,u6,u3426,u6,users
142,u6,u204,u6,users
143,u6,u6701,u6,users
144,u6,u1260,u6,users
145,u6,u2160,u6,users
146,u6,u409,u6,users
147,u6,u1879,u6,users
148,u6,u72,u6,users
149,u6,u10243,u6,users
150,u6,u7195,u6,users
151,u6,u2823,u6,users
152,u6,u1608,u6,users
153,u6,u8480,u6,users
154,u6,u6980,u6,users
155,u6,u2593,u6,users
156,u6,u5207,u6,users
157,u6,u1937,u6,users
158,u6,u3467,u6,users
159,u6,u1842,u6,users
160,u6,u1054,u6,users
161,u6,u3610,u6,users
162,u6,u307,u6,users
163,u6,u6331,u6,users
164,u6,u7765,u6,users
165,u6,u1679,u6,users
166,u6,u8946,u6,users
167,u6,u5741,u6,users
168,u6,u1666,u6,users
169,u6,u784,u6,users
170,u6,u1350,u6,users
171,u6,u816,u6,users
172,u6,u7256,u6,users
173,u6,u2094,u6,users
174,u6,u1890,u6,users
175,u6,u6984,u6,users
176,u6,u1748,u6,users
177,u6,u115,u6,users
178,u6,u10788,u6,users
179,u6,u7962,u6,users
180,u6,u1693,u6,users
181,u6,u7698,u6,users
182,u6,u336,u6,users
183,u6,u2875,u6,users
184,u6,u737,u6,users
185,u6,u702,u6,users
186,u6,u5306,u6,users
187,u6,u1640,u6,users
188,u6,u1617,u6,users
189,u6,u1191,u6,users
190,u6,u7017,u6,users
191,u6,u848,u6,users
192,u6,u4966,u6,users
193,u6,u844,u6,users
194,u6,u9086,u6,users
195,u6,u3178,u6,users
196,u6,u994,u6,users
197,u6,u4889,u6,users
198,u6,u6434,u6,users
199,u6,u9300,u6,users
200,u6,u5554,u6,users
201,u6,u7753,u6,users
202,u6,u3446,u6,users
203,u6,u3743,u6,users
204,u6,u183,u6,users
205,u6,u807,u6,users
206,u6,u1867,u6,users
207,u6,u2008,u6,users
208,u6,u6576,u6,users
209,u6,u2330,u6,users
210,u6,u1365,u6,users
211,u6,u2812,u6,users
212,u6,u7502,u6,users
213,u6,u1893,u6,users
214,u6,u2463,u6,users
215,u6,u7483,u6,users
216,u6,u960,u6,users
217,u6,u8368,u6,users
218,u6,u3470,u6,users
219,u6,u3997,u6,users
220,u6,u357,u6,users
221,u6,u1414,u6,users
222,u6,u1911,u6,users
223,u6,u5528,u6,users
224,u6,u1521,u6,users
225,u6,u251,u6,users
226,u6,u6278,u6,users
227,u6,u5430,u6,users
228,u6,u5294,u6,users
229,u6,u2421,u6,users
230,u6,u5841,u6,users
231,u6,u2361,u6,users
232,u6,u1116,u6,users
233,u6,u4328,u6,users
234,u6,u485,u6,users
235,u6,u3994,u6,users
236,u6,u6643,u6,users
237,u6,u935,u6,users
238,u6,u6152,u6,users
239,u6,u1261,u6,users
240,u6,u6797,u6,users
241,u6,u1898,u6,users
242,u6,u1974,u6,users
243,u6,u9425,u6,users
244,u6,u7452,u6,users
245,u6,u3957,u6,users
246,u6,u5550,u6,users
247,u6,u8737,u6,users
248,u6,u7903,u6,users
249,u6,u7297,u6,users
250,u6,u3725,u6,users
251,u6,u264,u6,users
252,u6,u95,u6,users
253,u6,u4646,u6,users
254,u6,u4011,u6,users
255,u6,u655,u6,users
256,u6,u53,u6,users
257,u6,u1839,u6,users
258,u6,u1938,u6,users
259,u6,u2810,u6,users
260,u6,u8088,u6,users
261,u6,u6248,u6,users
262,u6,u1743,u6,users
263,u7,u8616,u7,users
264,u7,u2950,u7,users
265,u7,u83,u7,users
266,u7,u6204,u7,users
267,u7,u1119,u7,users
268,u7,u485,u7,users
269,u7,u3064,u7,users
270,u7,u2771,u7,users
271,u7,u3728,u7,users
272,u7,u1053,u7,users
273,u7,u4353,u7,users
274,u7,u2665,u7,users
275,u7,u183,u7,users
276,u7,u5633,u7,users
277,u7,u844,u7,users
278,u7,u4088,u7,users
279,u7,u10323,u7,users
280,u7,u955,u7,users
281,u7,u5202,u7,users
282,u7,u3577,u7,users
283,u8,u557,u8,users
284,u8,u97,u8,users
285,u8,u7302,u8,users
286,u8,u10490,u8,users
287,u8,u3061,u8,users
288,u8,u10278,u8,users
289,u8,u10286,u8,users
290,u8,u7158,u8,users
291,u8,u534,u8,users
292,u8,u1111,u8,users
293,u8,u2240,u8,users
294,u8,u16,u8,users
295,u8,u4251,u8,users
296,u8,u871,u8,users
297,u8,u206,u8,users
298,u8,u431,u8,users
299,u8,u4353,u8,users
300,u8,u1325,u8,users
301,u8,u5520,u8,users
302,u8,u3403,u8,users
303,u8,u1679,u8,users
304,u8,u10651,u8,users
305,u8,u5066,u8,users
306,u8,u1415,u8,users
307,u8,u2130,u8,users
308,u8,u83,u8,users
309,u8,u200,u8,users
310,u8,u8324,u8,users
311,u8,u7165,u8,users
312,u8,u6234,u8,users
313,u8,u8999,u8,users
314,u8,u548,u8,users
315,u8,u982,u8,users
316,u8,u2055,u8,users
317,u8,u4534,u8,users
318,u8,u3889,u8,users
319,u8,u3320,u8,users
320,u8,u955,u8,users
321,u8,u4777,u8,users
322,u8,u298,u8,users
323,u8,u9417,u8,users
324,u8,u6187,u8,users
325,u8,u3692,u8,users
326,u8,u4871,u8,users
327,u8,u1572,u8,users
328,u8,u1189,u8,users
329,u8,u519,u8,users
330,u8,u10768,u8,users
331,u8,u5020,u8,users
332,u8,u4439,u8,users
333,u8,u2041,u8,users
334,u8,u1172,u8,users
335,u8,u686,u8,users
336,u8,u5705,u8,users
337,u8,u7204,u8,users
338,u10,u2429,u10,users
339,u10,u315,u10,users
340,u11,u477,u11,users
341,u11,u1973,u11,users
342,u11,u1475,u11,users
343,u11,u3786,u11,users
344,u11,u2133,u11,users
345,u11,u5242,u11,users
346,u11,u922,u11,users
347,u11,u2314,u11,users
348,u11,u2621,u11,users
349,u11,u3421,u11,users
350,u11,u4501,u11,users
351,u11,u3446,u11,users
352,u11,u1844,u11,users
353,u11,u10389,u11,users
354,u11,u4004,u11,users
355,u11,u7807,u11,users
356,u11,u1438,u11,users
357,u11,u6825,u11,users
358,u11,u8756,u11,users
359,u11,u2262,u11,users
360,u11,u531,u11,users
361,u11,u166,u11,users
362,u11,u5353,u11,users
363,u11,u666,u11,users
364,u11,u4516,u11,users
365,u11,u277,u11,users
366,u11,u6750,u11,users
367,u11,u8749,u11,users
368,u11,u211,u11,users
369,u13,u5348,u13,users
370,u13,u968,u13,users
371,u14,u2172,u14,users
372,u14,u774,u14,users
373,u14,u9544,u14,users
374,u14,u569,u14,users
375,u14,u1440,u14,users
376,u14,u9565,u14,users
377,u14,u7597,u14,users
378,u14,u2222,u14,users
379,u14,u8686,u14,users
380,u14,u413,u14,users
381,u14,u822,u14,users
382,u14,u1748,u14,users
383,u14,u1049,u14,users
384,u14,u1212,u14,users
385,u14,u3565,u14,users
386,u14,u854,u14,users
387,u14,u2509,u14,users
388,u14,u558,u14,users
389,u14,u5079,u14,users
390,u15,u5176,u15,users
391,u15,u243,u15,users
392,u15,u363,u15,users
393,u15,u4409,u15,users
394,u15,u796,u15,users
395,u15,u5449,u15,users
396,u15,u8444,u15,users
397,u15,u7390,u15,users
398,u15,u10616,u15,users
399,u15,u2528,u15,users
400,u15,u1383,u15,users
401,u15,u2001,u15,users
402,u15,u4686,u15,users
403,u15,u10104,u15,users
404,u15,u3329,u15,users
405,u15,u2573,u15,users
406,u15,u1319,u15,users
407,u15,u1297,u15,users
408,u15,u2168,u15,users
409,u15,u4128,u15,users
410,u15,u8406,u15,users
411,u15,u742,u15,users
412,u15,u6996,u15,users
413,u15,u2075,u15,users
414,u15,u6794,u15,users
415,u15,u4749,u15,users
416,u15,u7873,u15,users
417,u15,u10749,u15,users
418,u15,u1835,u15,users
419,u15,u319,u15,users
420,u15,u5456,u15,users
421,u15,u6336,u15,users
422,u15,u1176,u15,users
423,u16,u97,u16,users
424,u16,u5697,u16,users
425,u16,u5674,u16,users
426,u16,u4803,u16,users
427,u16,u1753,u16,users
428,u16,u534,u16,users
429,u16,u1057,u16,users
430,u16,u3342,u16,users
431,u16,u4686,u16,users
432,u16,u1665,u16,users
433,u16,u6763,u16,users
434,u16,u2644,u16,users
435,u16,u176,u16,users
436,u16,u5520,u16,users
437,u16,u3403,u16,users
438,u16,u1415,u16,users
439,u16,u1859,u16,users
440,u16,u5028,u16,users
441,u16,u7146,u16,users
442,u16,u2771,u16,users
443,u16,u7165,u16,users
444,u16,u1322,u16,users
445,u16,u982,u16,users
446,u16,u4534,u16,users
447,u16,u3567,u16,users
448,u16,u2854,u16,users
449,u16,u298,u16,users
450,u16,u3414,u16,users
451,u16,u1691,u16,users
452,u16,u2521,u16,users
453,u16,u8318,u16,users
454,u16,u6216,u16,users
455,u16,u7422,u16,users
456,u16,u4521,u16,users
457,u16,u1572,u16,users
458,u16,u3569,u16,users
459,u16,u519,u16,users
460,u16,u2632,u16,users
461,u16,u3007,u16,users
462,u16,u7204,u16,users
463,u16,u7767,u16,users
464,u16,u7791,u16,users
465,u16,u6037,u16,users
466,u16,u4572,u16,users
467,u16,u5268,u16,users
468,u16,u7158,u16,users
469,u16,u4887,u16,users
470,u16,u1487,u16,users
471,u16,u4804,u16,users
472,u16,u308,u16,users
473,u16,u7540,u16,users
