source,target,date,category,node,occupation
1,3,2012-11-16,I,1,politician
1,4,2013-06-07,I,1,politician
1,5,2009-07-27,I,1,politician
1,6,2014-12-18,I,1,politician
1,7,2010-10-18,I,1,politician
1,8,2012-04-18,I,1,politician
1,9,2007-10-14,I,1,politician
1,10,2012-09-08,I,1,politician
1,11,2010-01-06,I,1,politician
1,12,2012-12-27,I,1,politician
1,13,2008-12-18,I,1,politician
1,14,2014-05-25,I,1,politician
1,15,2009-11-12,I,1,politician
1,16,2008-08-06,I,1,politician
1,17,2007-08-11,I,1,politician
1,18,2009-10-07,I,1,politician
1,19,2008-07-24,I,1,politician
1,20,2013-11-18,I,1,politician
1,21,2011-03-28,I,1,politician
1,22,2013-03-04,I,1,politician
1,23,2012-04-20,I,1,politician
1,24,2009-06-06,I,1,politician
1,25,2013-06-18,I,1,politician
1,26,2014-11-20,I,1,politician
1,27,2007-04-28,I,1,politician
1,28,2007-02-25,I,1,politician
1,29,2014-01-23,I,1,politician
1,30,2007-10-09,I,1,politician
1,31,2009-02-17,I,1,politician
1,32,2009-10-14,I,1,politician
1,33,2010-05-19,I,1,politician
1,34,2009-12-21,I,1,politician
1,35,2014-11-16,I,1,politician
1,36,2010-02-25,I,1,politician
1,37,2010-09-23,I,1,politician
1,38,2007-04-28,I,1,politician
1,39,2008-02-26,I,1,politician
1,40,2010-05-15,I,1,politician
1,41,2009-08-12,I,1,politician
1,42,2013-01-22,I,1,politician
1,43,2011-11-14,I,1,politician
1,44,2013-04-06,I,1,politician
1,45,2008-06-22,I,1,politician
1,46,2011-08-20,I,1,politician
1,47,2014-08-03,I,1,politician
1,48,2010-03-15,I,1,politician
1,49,2007-09-02,I,1,politician
16,563,2013-06-02,P,16,politician
16,5384,2007-07-26,P,16,politician
16,5385,2013-11-11,P,16,politician
16,7881,2007-05-24,P,16,politician
16,573,2010-06-25,P,16,politician
16,7354,2012-07-26,P,16,politician
16,7355,2010-09-24,P,16,politician
16,7358,2007-12-12,P,16,politician
16,18,2012-01-06,P,16,politician
16,5586,2013-04-02,P,16,politician
16,580,2011-05-07,P,16,politician
16,35,2014-06-04,P,16,politician
16,10981,2011-08-08,P,16,politician
16,36,2008-10-10,P,16,politician
16,48,2014-01-27,P,16,politician
16,590,2014-08-21,P,16,politician
16,10982,2012-12-18,P,16,politician
18,6163,2014-04-04,I,18,celebrity
18,5578,2013-12-14,I,18,celebrity
18,16,2008-08-05,I,18,celebrity
18,7609,2011-01-09,I,18,celebrity
18,24,2009-02-04,I,18,celebrity
