id,budget,revenue
19995,237000000,2787965087.00
285,300000000,961000000.00 
206647,245000000,880674609.00 
49026,250000000,1084939099.00
49529,260000000,284139100.00 
559,258000000,890871626.00 
38757,260000000,591794936.00 
99861,280000000,1405403694.00
767,250000000,933959197.00 
209112,250000000,873260194.00 
1452,270000000,391081192.00 
10764,200000000,586090727.00 
58,200000000,1065659812.00
57201,255000000,89289910.00  
49521,225000000,662845518.00 
2454,225000000,419651413.00 
24428,220000000,1519557910.00
1865,380000000,1045713802.00
41154,225000000,624026776.00 
122917,250000000,956019788.00 
1930,215000000,752215857.00 
20662,200000000,310669540.00 
57158,250000000,958400000.00 
2268,180000000,372234864.00 
254,207000000,550000000.00 
597,200000000,1845034188.00
271110,250000000,1153304495.00
44833,209000000,303025485.00 
135397,150000000,1513528810.00
37724,200000000,1108561013.00
558,200000000,783766341.00 
68721,200000000,1215439994.00
12155,200000000,1025491110.00
36668,210000000,459359555.00 
62211,200000000,743559607.00 
8373,150000000,836297228.00 
91314,210000000,1091405097.00
68728,200000000,491868548.00 
102382,200000000,705717432.00 
20526,170000000,400062763.00 
49013,200000000,559852396.00 
44912,200000000,219851172.00 
10193,200000000,1066969703.00
534,200000000,371353001.00 
168259,190000000,1506249360.00
72190,200000000,531865000.00 
127585,250000000,747862775.00 
54138,190000000,467365246.00 
81005,195000000,197687603.00 
64682,105000000,351040419.00 
9543,150000000,335154643.00 
68726,180000000,407602906.00 
38356,195000000,1123746996.00
217,185000000,786636033.00 
105864,175000000,331926147.00 
62177,185000000,538983207.00 
188927,185000000,343471816.00 
10681,180000000,521311860.00 
5174,140000000,258022233.00 
14161,200000000,769653595.00 
17979,200000000,325233863.00 
76757,176000003,183987723.00 
258489,180000000,356743061.00 
411,180000000,748806957.00 
246655,178000000,543934787.00 
155,185000000,1004558444.00
14160,175000000,735099082.00 
15512,175000000,381509870.00 
1726,140000000,585174222.00 
44826,170000000,185770160.00 
8487,170000000,222104681.00 
1735,145000000,401128639.00 
297761,175000000,745000000.00 
2698,175000000,173000000.00 
137113,178000000,370541256.00 
9804,175000000,264218220.00 
14869,175000000,302469017.00 
150540,175000000,857611174.00 
278927,175000000,966550600.00 
10138,200000000,623933331.00 
58595,170000000,396600000.00 
102651,180000000,758539785.00 
119450,170000000,710644566.00 
64686,175000000,150962475.00 
100402,170000000,714766572.00 
10192,165000000,752600867.00 
158852,190000000,209154322.00 
177572,165000000,652105443.00 
82690,165000000,471222889.00 
5255,165000000,305875730.00 
47933,165000000,389681935.00 
10191,165000000,494878759.00 
296,200000000,435000000.00 
118340,170000000,773328629.00 
157336,165000000,675120017.00 
27205,160000000,825532764.00 
315011,15000000,77000000.00  
49051,250000000,1021103568.00
9799,38000000,207283925.00 
4922,150000000,333932083.00 
49538,160000000,353624124.00 
131634,160000000,653428261.00 
27022,150000000,215283742.00 
503,160000000,181674817.00 
241259,170000000,299370084.00 
810,160000000,798958165.00 
68735,160000000,433677183.00 
87101,155000000,440603537.00 
10140,155000000,415686217.00 
676,140000000,449220945.00 
1858,150000000,709709780.00 
1966,155000000,167298192.00 
675,150000000,938212738.00 
674,150000000,895921036.00 
8960,150000000,624029371.00 
6479,150000000,585349010.00 
118,150000000,474968763.00 
2062,150000000,623722818.00 
272,150000000,374218673.00 
10527,150000000,603900354.00 
18360,150000000,413106170.00 
2080,150000000,373062864.00 
605,150000000,424988211.00 
109445,150000000,1274219009.00
604,150000000,738599701.00 
76338,170000000,644571402.00 
76341,150000000,378858340.00 
13448,150000000,356613439.00 
10195,150000000,449326618.00 
13053,150000000,309979994.00 
19585,150000000,292817841.00 
57165,150000000,301000000.00 
62213,150000000,245527149.00 
177677,150000000,682330139.00 
5559,150000000,287594577.00 
49444,150000000,665692281.00 
10196,150000000,318502923.00 
956,150000000,397850012.00 
117251,150000000,205366737.00 
50321,150000000,38992758.00  
11619,149000000,64459316.00  
266647,150000000,128388320.00 
82703,145000000,272912430.00 
652,175000000,497409852.00 
80321,145000000,746921274.00 
36669,140000000,431971116.00 
43074,144000000,229147509.00 
95,140000000,553799566.00 
608,140000000,441818803.00 
2310,70000000,195735876.00 
140300,145000000,521170825.00 
56292,145000000,694713380.00 
81188,145000000,306941670.00 
7552,100000000,202026112.00 
616,140000000,456758981.00 
147441,140000000,268031828.00 
13475,150000000,385680446.00 
557,139000000,821708551.00 
82702,145000000,609123048.00 
205584,140000000,150680864.00 
10048,135000000,76932943.00  
13183,130000000,185258983.00 
944,140000000,285444603.00 
1927,137000000,245360480.00 
72559,130000000,371876278.00 
7364,130000000,119269486.00 
2114,137000000,85131830.00  
1771,140000000,370569774.00 
36643,135000000,361832400.00 
8619,150000000,212011111.00 
50620,120000000,829000000.00 
65759,130000000,150406466.00 
1724,150000000,163712074.00 
267935,140000000,183345589.00 
281957,135000000,532950503.00 
77950,135000000,282570682.00 
44896,135000000,245724603.00 
270946,132000000,373552094.00 
2503,70000000,442824138.00 
9502,130000000,631744560.00 
102899,130000000,519311965.00 
101299,130000000,847423452.00 
228161,135000000,368871007.00 
74,132000000,591739379.00 
8961,130000000,273339556.00 
417859,130000000,554987477.00 
27576,110000000,293329073.00 
86834,125000000,362637473.00 
17578,130000000,371940071.00 
673,130000000,789804554.00 
6972,130000000,49554002.00  
